race_ethnicity,percent_with_severe_housing_problems,percent_with_cost_burden_greater_than_50_percent,year
Total,12.9,11.5,2003
"White, Non-Hispanic",9.7,8.6,2003
"Black, Non-Hispanic",20.4,18.0,2003
Hispanic,18.6,16.6,2003
"Asian or Pacific Islander, Non-Hispanic",15.7,14.8,2003
"American Indian or Alaskan Native, Non-Hispanic",17.0,14.6,2003
Two or More Races,14.9,14.9,2003
Total,17.0,15.8,2007
"White, Non-Hispanic",12.6,11.5,2007
"Black, Non-Hispanic",26.5,24.6,2007
Hispanic,24.9,23.8,2007
"Asian or Pacific Islander, Non-Hispanic",17.6,16.7,2007
"American Indian or Alaskan Native, Non-Hispanic",19.9,15.1,2007
Two or More Races,18.5,18.2,2007
Total,19.5,18.3,2011
"White, Non-Hispanic",14.0,12.9,2011
"Black, Non-Hispanic",30.1,28.2,2011
Hispanic,29.8,28.1,2011
"Asian or Pacific Islander, Non-Hispanic",19.3,18.5,2011
"American Indian or Alaskan Native, Non-Hispanic",16.0,13.6,2011
Two or More Races,21.3,18.7,2011
