org_name,prop_name,address,zip_code,energy_star_score,prop_type,floor_area,year_built,total_GHG_emissions,site_EUI,weather_normalized_site_EUI,source_EUI,weather_normalied_source_EUI,public_private
,,1 Twins Way,55403,Not Available,Other - Entertainment/Public Assembly,1127632,2010,14714,82.9,81.9,205.1,203.9,private
,,100 6th St North,55403,94,Office,457678,1906,3777.9,53.7,50.8,130.5,127,private
,,100 Washington Ave S,55401,96,Office,770894,1980,4578.1,54.4,50.4,115.9,111.2,private
,,100/150 South Fifth Street,55402,92,Office,1420153,1984,11002.6,57.9,54.6,147.7,144.2,private
,,1000 LaSalle Avenue,55403,Not Available,College/University,165516,1992,2616,130,126.3,256.5,252.4,private
,,1001 Marquette Ave.,55403,41,Hotel,687758,1992,11013.9,145.7,141.4,266.6,262.2,private
,,105 5th Ave S,55401,Not Available,Office,115584,1890,1299.4,116.1,111.7,236.4,231.7,private
,,109 South 7th Street,55402,89,Office,195308,1927,1728.4,90.7,87.4,148.1,144.1,private
,,11 4th Street South,55401,Not Available,Parking,200500,1966,305,72.4,70.2,227.4,220.3,private
,,110 5th Street North,55403,50,Office,205435,1916,3418.8,144.1,142.8,272.5,271.1,private
,,1101 Harmon Place,55403,Not Available,College/University,158000,2003,2317.2,105.5,103.1,233.7,231.1,private
,,1101 LaSalle Ave,55403,97,Hotel,220390,1987,1458.3,66.5,61.4,121.2,114.3,private
,,111 Third Avenue South,55401,90,Office,109190,1890,946,56,53.4,147.8,145,private
,,111 Washington Ave S,55401,Not Available,Office,432830,1987,13040.1,152.1,150.7,462.1,460.5,private
,,120 S 6th st.,55402,Not Available,Office,588537,1960,7816,126.3,121.5,241.8,236,private
,,1200 Marquette Ave,55403,45,Worship Facility,124000,1897,850.9,67.1,61.2,118.9,112.6,private
,,1200 Washington Avenue S,55415,2,Office,176333,1941,5474.2,235.2,235.2,738.5,738.5,private
,,121 S 8th St,55402,71,Office,579622,1981,7857.3,126.8,122.2,249,243.5,private
,,1220 Marshall ST NE,55402,68,Office,100834,1908,1375.8,128.3,121,228.4,221,private
,,1221 Nicollet Mall,55403,78,Office,168245,1983,1395.1,83,77.8,170.8,165.3,private
,,1300 Godward St. NE,55413,98,Office,193180,1988,1313.7,42,40.7,117.6,116.2,private
,,1300 Nicollet Mall,55403,68,Hotel,867136,1980,8713.8,82,79.2,163,159.8,private
,,1300 Olson Memorial Hwy,55411,Not Available,Pre-school/Daycare,130000,1970,985.7,59.8,57.1,123.3,120.4,private
,,1313 Nicollet Mall,55403,69,Hotel,282000,1962,3019.7,95.3,89.9,181.3,175.9,private
,,1330 Industrial Blvd NE,55413,Not Available,Hotel,164000,1979,2463.9,145.6,139.6,252.9,245.9,private
,,15 South 5th Street,55402,94,Office,178008,1916,1296,90.9,82.4,129.1,120.2,private
,,1500 Washington Ave S,55454,63,Hotel,195000,1984,2282.4,104.9,98.8,194.3,186,private
,,1518 Chestnut Avenue,55403,Not Available,Mixed Use Property,378425,1932,5645.7,147.3,Not Available,250.9,Not Available,private
,,1520 New Brighton Blvd,55413,57,Retail Store,111756,1997,1716.3,106.1,99.5,244.8,237.2,private
,,16 9th St S,55402,Not Available,Fitness Center/Health Club/Gym,120000,1990,2143.8,141.1,136.7,290.5,285.9,private
,,1601 W River Rd,55411,43,Office,117805,2009,1805.7,152.4,144.2,259.3,249.6,private
,,1650 NEW BRIGHTON BLVD,55413,82,Retail Store,134918,1997,1871.6,87.3,83.8,218.4,214,private
,,20 Washington Ave,55401,97,Office,212724,1964,1829.9,60.5,58.2,136.7,133.9,private
,,200 S. 6th St.,55402,96,Office,1751374,1981,12381.2,45.9,44,133,130.7,private
,,201 S 11th St,55403,80,Hotel,567560,2007,3166.3,65.9,63.3,109.5,106.6,private
,,2025 East River Parkway,55414,Not Available,Other - Specialty Hospital,103570,1990,3592.4,320.7,314.3,579,568.4,private
,,2101 Kennedy St NE,55413,Not Available,Office,159980,1919,Not Available,74.6,72.2,111.3,109,private
,,2101 Summer St NE,55413,Not Available,Parking,190675,2002,129,3.3,3.2,10.3,9.9,private
,,212 3rd Avenue N,55401,97,Office,251465,1885,1619.5,50.4,48.3,104.6,102.4,private
,,2121 E Lake St,55403,Not Available,Fitness Center/Health Club/Gym,135000,2000,2490,142.1,136.1,298.8,292.5,private
,,215 4th Street,55401,24,Hotel,200000,1906,3518.7,133.1,126.8,282.4,272.2,private
,,2215 Park Avenue,55407,44,Hospital (General Medical & Surgical),165169,1987,3289.4,176.4,172.2,330,326,private
,,2215 Park Avenue,55407,Not Available,Parking,174216,1987,220.6,6.2,5.9,19.4,18.6,private
,,222 South 9th Street,55402,87,Office,1035692,1985,9725,91.8,88.4,174.6,170.4,private
,,224 5th ST S,554020000,Not Available,Other,812848,1920,19397.7,141.7,138.6,371.9,368.5,private
,,225 South Sixth Street,55402,95,Office,1872031,1992,17297.9,65.4,62.9,165.5,162.5,private
,,2300 Chicago Ave,55404,Not Available,Other - Education,231555,1951,1694.6,77.5,71,125.3,118.1,private
,,2400 Third Avenue South,55404,Not Available,Museum,466675,1915,8783.5,235.4,228.4,333.9,326.9,private
,,2400 Third Avenue South,55404,Not Available,Museum,140333,2005,3222.7,226.8,224.9,388,386.5,private
,,2414 7th St S,55454,Not Available,Outpatient Rehabilitation/Physical Therapy,294230,1975,4608.6,136.8,137,256.3,256.8,private
,,2450 Riverside ave.,55454,1,Other - Specialty Hospital,231498,2011,9554.8,369.7,370.2,677.9,679.2,private
,,25 1st Street N,55401,Not Available,Parking,479718,1982,278,2.8,2.8,8.9,8.7,private
,,25 Grove St,55401,80,K-12 School,156000,1922,951.1,66.6,61.1,105.1,99.2,private
,,250 Marquette Ave,55401,95,Office,667160,1972,9811.2,131.3,128.6,284.6,281.4,private
,,2500 6th St S,55402,Not Available,College/University,150639,1924,2353.4,118.3,112.1,250.6,243.2,private
,,2500 E LAKE ST,55406,82,Retail Store,127233,1976,1758,83.1,78.8,216.3,209.8,private
,,2501 Stevens Ave,55404,Not Available,College/University,137463,1973,2913.4,223.4,214.9,358.3,348.5,private
,,2512 7th St. S,55454,Not Available,Outpatient Rehabilitation/Physical Therapy,173722,1945,3821.7,197.1,197.3,361.3,362,private
,,255 2nd Avenue South,55401,4,Office,528599,1900,18597.6,178.9,177.7,540,538.6,private
,,2650 Wells Fargo Way,55408,92,Office,228894,2004,2389,61.3,59.7,162.9,160.8,private
,,2701 Elliot Ave,55407,Not Available,Parking,1630889,1980,1748.6,5.2,5.2,16.4,16.2,private
,,2701 Wells Fargo Way,55408,99,Office,1024899,1912,4659,55.5,52.7,116.8,113.9,private
,,275 Market Street,55405,Not Available,Mixed Use Property,658786,1914,4565.1,54.9,52.5,128.5,125,private
,,2800 4th Ave South,55408,Not Available,Parking,555000,2001,916.9,8,7.8,25.3,24.3,private
,,2801 4th Ave South,55408,79,Office,241753,1983,3234.9,85.2,82.8,211,209,private
,,2828 Chicago Avenue South,55407,2,Medical Office,106239,2008,2220.7,192.7,189.5,603.8,593.9,private
,,2924 4th Ave S.,55408,48,K-12 School,158947,2007,1144.9,54.9,52.4,116.5,113.9,private
,,2929 Chicago Ave,55407,86,Office,444541,1927,5637.7,123.4,114.9,213.7,204.9,private
,,30 South 7th Street,55402,63,Hotel,555000,1990,Not Available,113.9,110.9,204.3,200.7,private
,,300 S 4TH STREET,55415,60,Courthouse,738583,1997,Not Available,123.8,118.4,233.2,226.3,private
,,"3001 Broadway Street, NE",55413,90,Office,229449,2000,2968.8,73.6,72,209.3,207.6,private
,,301 4th Avenue South,55415,84,Office,150293,1881,1424.6,108.8,100.4,165,156.3,private
,,3033 Excelsior Blvd.,55416,Not Available,Office,165063,1953,2724.3,161.7,156.1,293.1,286.9,private
,,310 38th St E,55409,Not Available,Social/Meeting Hall,216300,1918,1394.2,67.6,62.4,110.2,104.7,private
,,3100 West River PArkway,55406,66,K-12 School,152000,1912,1055.4,70.2,64.3,117.8,111.2,private
,,310-4th Ave. So.,55415,79,Office,142688,1900,1378.4,97.4,91.9,163.8,158.1,private
,,3106 Nicollet Avenue,55411,Not Available,Transportation Terminal/Station,210000,1990,1772.5,95.8,89,146.6,139.4,private
,,311 2nd St SE,55414,Not Available,Mixed Use Property,366600,1968,6135.4,140.3,137.1,274.8,271.5,private
,,3200 West Lake Street,55416,Not Available,Strip Mall,111054,1988,2341.5,210.7,202.2,428.5,418.2,private
,,33 South 6th Street,55402,98,Office,1375717,1982,14838.9,75,72.9,171,168.5,private
,,330 2nd Avenue South,55401,79,Office,256622,1980,2483.1,79,73,170.2,160.8,private
,,331 Second Ave S,554101,97,Office,137823,1982,4303.4,177.9,172.8,485.7,480.3,private
,,333 S. 7th St.   Suite 250,55402,91,Office,917687,1987,2088.8,87.9,83.4,172.9,167,private
,,333 South 12th Street,55403,44,Worship Facility,108000,1928,791.8,82.8,76.3,127.2,120.5,private
,,"3433 Broadway Street, NE",551141904,98,Office,133266,1985,872.4,45.4,42.1,109.5,104.8,private
,,3660 Technology Drive NE,55418,Not Available,Office,169300,1985,4883.2,170.1,166.8,450.5,447.1,private
,,400 1st Avenue North,55401,83,Office,224808,1910,2440.1,91.9,88.1,176.6,172.1,private
,,400 4th Street South,55415,85,Office,243853,1881,2324.3,109.4,100.9,165.9,157.2,private
,,400 Stinson,55413,62,Office,253077,1920,4325.3,131.8,131.8,276.9,276.8,private
,,401 2nd Avenue North,55401,80,Office,104843,1894,1100.2,80,75.3,169.7,164.7,private
,,401 N 3RD ST,55401-1300,Not Available,Office,160188,1901,1142,93.5,88.2,205,199.3,private
,,405 South 8th. Street,55404,46,Hotel,136699,1924,1978.5,153,143.9,247.8,236.6,private
,,409 Marquette Avenue,55402,Not Available,Parking,146080,1953,186.4,6.8,6.3,19.7,18.4,private
,,412 South 3rd Street,55415,Not Available,Parking,545975,1983,792.1,7.1,6.7,22.2,21.1,private
,,414 Nicollet Avenue,55401,90,Office,373735,1967,4112.3,53.6,Not Available,168.2,Not Available,private
,,420 N. 5th Street,55401,88,Office,318595,1913,3514,87.7,81.7,186.7,179.4,private
,,4200 West River Parkway,55406,77,K-12 School,172770,1956,1075.6,54.1,49.8,102.8,97.8,private
,,4225 3rd Avenue S,55409,Not Available,Pre-school/Daycare,108000,1963,580.8,64.4,56.9,94.5,86.6,private
,,43 Main Street S.E.,55414,62,Office,102266,1900,1452.3,93.1,86.4,224.8,215.7,private
,,45 S 7th Street Suite 200,55402,79,Mixed Use Property,870775,1987,8409.1,95.5,91.5,186.4,180.7,private
,,45 South 8th Street,55402,82,Hotel,153040,1998,1255.4,77.2,Not Available,172.9,Not Available,private
,,50 S Tenth Street,55403,85,Office,541096,2001,6372,98.1,95.1,191.2,187.7,private
,,50 South 6th St.,55402,84,Office,1085348,2001,10429.3,64.5,61.7,197.2,189.8,private
,,500 S. 6th Street,55415,Not Available,Parking,146400,1935,87.5,15.2,15.2,47.8,47.8,private
,,500 Washington Ave S,55415,97,Office,286394,2001,2244.6,59.2,56.5,126.6,123.4,private
,,501 4th Avenue South,55415,Not Available,Parking,249120,1974,425.7,37.4,37.4,79.1,79.1,private
,,510 1st Avenue North,55403,Not Available,Office,138474,1910,1174.8,67,62,138,132.8,private
,,511 Groveland Ave,55403,60,Worship Facility,106412,1916,721.1,71.1,63.8,115.8,108.1,private
,,511 Kenwood Parkway,55403,16,K-12 School,120000,1902,1794.6,145.2,136.7,251.9,242.9,private
,,517 Marquette Avenue,55402,Not Available,Parking,252783,1999,385.3,43.7,41.6,97.2,94.2,private
,,527 marquette ave suite 500,55402,52,Office,142136,1929,Not Available,147.4,130.3,252.6,231.9,private
,,528 Hennepin Ave,55403,Not Available,Performing Arts,119970,1888,1324,78.2,72.3,176.6,167.9,private
,,555 Nicollet Mall,55402,Not Available,Mixed Use Property,113000,1991,Not Available,88.3,83.4,183,175.1,private
,,570 6th Avenue N,55411,Not Available,Other - Public Services,285160,1984,2385.6,97.1,89.4,146,137.9,private
,,60 South Sixth Street,55402,89,Office,683103,1991,6854.3,82.2,79.5,162.4,159.1,private
,,600 Stinson BLVD,554132620,Not Available,Other,250556,1920,10364.3,234.6,232.4,643.1,640.7,private
,,601 1st Avenue North,55403,66,Hotel,208721,2003,2913.7,104.2,100.7,224.5,216.7,private
,,6010 Lyndale Ave. S.,55419,Not Available,Retail Store,224051,1970,2608.7,132.9,122.4,210.8,199.7,private
,,606 24th ave s - Fairview St Marys Bldg,55454,99,Hospital (General Medical & Surgical),596511,1945,9554.8,143.5,143.7,263.1,263.6,private
,,608 2nd Ave S,55402,64,Office,1518974,1916,16622.6,103.3,98.7,244.3,238.9,private
,,615 1st Ave NE,55413,91,Office,157227,1928,1432.5,62.8,59.5,145.2,141.7,private
,,615 Second Avenue South,554021902,7,Hotel,200503,2001,3830.9,195.1,184.8,322.3,310.7,private
,,625 Fourth Avenue South,55415,Not Available,Office,525000,1981,5492.7,77.4,Not Available,168.5,Not Available,private
,,651 Nicollet Mall,55402,34,Office,328126,1989,5612,117.7,113.2,263.7,255.7,private
,,700 Nicollet Mall,55402,76,Retail Store,1235912,1902,11080.3,84,79.7,148.2,143,private
,,701 Washington Ave,55401,31,Office,117500,1911,2055.3,157.3,147.2,290.6,280,private
,,706 Second Avenue South,55402,5,Office,112356,1926,3145.8,180.5,175.1,440.2,433.7,private
,,707 Second Avenue South,55474,90,Financial Office,1156997,1999,11305.2,83.4,78,185.8,180.1,private
,,708 North 1st St,55401,82,Office,127484,1905,147.8,59.5,56.3,141.3,137,private
,,710 S. 2nd Street,55401,80,Office,119155,2003,1206.5,110.3,106,174.4,169.5,private
,,711 Hennepin Ave,55403,Not Available,Mixed Use Property,101000,1972,987.3,94.9,85.2,176.2,164.7,private
,,721 Vineland Place,55403,Not Available,Museum,280000,1970,4362.6,155.8,149.8,310.3,301.5,private
,,730 Second Avenue South,55402,93,Office,409505,1968,2692.8,90.1,86.9,138.5,134.6,private
,,733 Marquette Avenue South,55402,93,Office,424583,1926,3936.6,85.3,82.6,152.5,149.4,private
,,80 South Eighth Street,55402,Not Available,Mixed Use Property,2463406,1973,28934.2,114.7,110.9,209.5,204.9,private
,,800 E 28th St.,55407,36,Hospital (General Medical & Surgical),1560501,1926,41824.4,256.3,248.6,452.1,444.5,private
,,800 LaSalle Ave.,55402,76,Office,934285,1991,11510.8,112,109,236.1,232.5,private
,,800 Nicollet Mall,55402,84,Office,1183471,2000,12961.8,83.7,80.6,195.8,192.1,private
,,800 Washington Avenue N,55401,89,Office,382374,1902,3666.1,61.3,58.1,151.3,147.1,private
,,801 LaSalle Avenue,55402,Not Available,Parking,250000,1968,396.4,7.7,7.7,24.2,24.2,private
,,801 Nicollet Mall,55402,81,Office,777563,1968,6505,90.4,84.9,217.6,209,private
,,814 Ninth Street South,55404,Not Available,Parking,353080,1981,508.2,194.4,180.4,344.5,327.5,private
,,818 2nd St S,55415,Not Available,Performing Arts,360630,2006,4665,170,164.5,289.4,283.7,private
,,818 Dunwoody Blvd,55403,Not Available,Vocational School,225776,1914,2422.3,106.2,99.1,181.4,173.9,private
,,818 S. 2nd Street,55415,Not Available,Performing Arts,231642,2006,5403.5,120.3,120.4,358.8,359.3,private
,,821 Marquette Ave.,55402,1,Hotel,242879,1929,5797,175.8,173.8,449.3,447.2,private
,,825 Nicolette Mall,55402,70,Medical Office,299253,1923,4059.2,129.6,125.2,216.3,211,private
