org_name,prop_name,public_private,address,zip_code,energy_star_score,prop_type,floor_area,floor_area_parking,year_built,total_GHG_emissions,site_EUI,weather_normalized_site_EUI,source_EUI,weather_normalized_source_EUI,water_use
Hennepin County,1800 Chicago,Public,1800 Chicago S.,55404,88,Office,102815,0,1996,847,74,79,137,141,2574
Hennepin County,Central Library,Public,300 Nicolet Mall,55401,0,Other,406354,266266,2004,2971,48,50,115,118,7203
Hennepin County,Century Plaza,Public,330 south 12th st,55404,98,Office,297650,194471,1934,2375,56,58,127,130,2876
Hennepin County,Family Justice Center,Public,110 S. 4th St.,55415,97,Courthouse,227422,49804,1956,1516,53,56,109,111,1087
Hennepin County,Forensic Sciences Building,Public,530 Chicago Avenue South,55415,3,Medical Office,62602,0,1974,1219,218,224,331,339,401
Hennepin County,Government Center,Public,300 S. Sixth,55487,83,Courthouse,1182041,168895,1974,11815,88,91,164,168,10135
Hennepin County,Health Services Building,Public,525 Portland Ave South,55415,99,Office,198739,0,1989,1159,50,52,95,98,1209
Hennepin County,Hennepin County Medical Center,Public,701 Park Avenue,55415,91,Hospital (General Medical & Surgical),2404995,500174,1976,39491,185,188,280,283,26143
Hennepin County,Juvenile Justice Center/Detention Center,Public,626 S. Sixth,55415,0,Prison/Incarceration,199219,0,1983,1753,78,80,144,147,1936
Hennepin County,North Point Health and Wellness,Public,1313 Penn Ave N,55411,81,Medical Office,67205,76221,1995,643,64,66,152,153,887
Hennepin County,North Regional Library,Public,1315 Lowry Avenue North,55411,0,Other,38993,19255,1971,300,64,69,126,131,188
Hennepin County,Public Safety Facility,Public,401 4 Ave South,55415,0,Prison/Incarceration,381568,51208,2001,4972,125,128,216,219,8434
Hennepin County,Whittier Clinic,Public,2810 Nicollet Ave. South,55415,17,Medical Office,63808,60600,2008,1249,150,153,317,321,1143
City of Minneapolis,10th and Hennepin Ramp,Public,935 Hennepin Avenue,55403,0,Parking,552000,552000,1998,686,8,8,20,20,2141
City of Minneapolis,10th and LaSalle Ramp,Public,915 LaSalle Avenue,55403,0,Parking,360000,360000,2001,484,10,10,21,22,463
City of Minneapolis,City Hall,Public,350 South 5th Street,55415,95,Office,680000,0,1895,4973,59,60,118,120,11443
City of Minneapolis,City of Lakes,Public,309 2nd Avenue South,55401,37,Office,47833,0,1958,842,153,164,291,302,496
City of Minneapolis,Currie Maintenance Facility,Public,1200 Currie Ave North,55403,0,Other - Services,171200,0,1980,1401,81,87,136,142,2729
City of Minneapolis,Emergency Operations Training Center,Public,25 37th Avenue NE,55421,0,Other,42581,0,2010,320,56,60,121,125,549
City of Minneapolis,Federal Courthouse Ramp,Public,333 3rd Avenue South,55415,0,Parking,105000,105000,1997,358,24,26,54,58,0
City of Minneapolis,Fire Station # 06,Public,121 E 15TH ST,55403,0,Fire Station,27160,0,1980,211,72,76,130,134,274
City of Minneapolis,Government Center Ramp,Public,415 south 3rd Street,55401,0,Parking,350000,350000,1974,538,12,13,25,26,184
City of Minneapolis,Haaf Ramp,Public,424 4th Street South,55415,0,Parking,260000,260000,1993,1051,30,32,63,65,397
City of Minneapolis,Hamilton School (Police Training),Public,4131 Dupont Avenue North,55412,0,Office,41326,0,1960,639,154,161,262,265,340
City of Minneapolis,Harmon Ramp,Public,25 South 11th Street,55403,0,Parking,175000,175000,2003,424,14,14,38,39,620
City of Minneapolis,Harriet Maintenance Facility,Public,6036 Harriet Avenue South,55419,0,"Repair Services (Vehicle, Shoe, etc.)",53364,0,1959,339,65,70,108,114,922
City of Minneapolis,Hawthorne Ramp,Public,31 North 9th Street,55403,0,Parking,630000,630000,1999,1600,21,22,42,42,416
City of Minneapolis,Hiawatha Maintenance Facility,Public,1901 East 26th Street,55404,0,"Repair Services (Vehicle, Shoe, etc.)",62192,0,2010,789,72,75,197,202,87
City of Minneapolis,Hilton Ramp,Public,1030 2nd Avenue South,55403,0,Parking,400000,400000,1992,852,10,11,33,33,0
City of Minneapolis,Leamington Ramp,Public,1001 2nd Avenue South,55403,0,Parking,700000,700000,1991,855,12,12,20,21,569
City of Minneapolis,Mill Quarter Ramp,Public,711 South 2nd Street,55403,0,Parking,120000,120000,2005,159,7,7,20,21,41
City of Minneapolis,Minneapolis Convention Center,Public,1301 second Avenue South,55403,0,Convention Center,1500000,0,1989,15339,84,86,162,164,29898
City of Minneapolis,Orchestra Hall Ramp #1,Public,1111 Marquette Avenue South,55403,0,Parking,239000,239000,1976,560,21,23,39,41,97
City of Minneapolis,Orchestra Hall Ramp #2,Public,1111 Marquette Avenue South,55403,0,Parking,148000,148000,1989,175,6,6,18,19,48
City of Minneapolis,Plaza Ramp,Public,117 South 12th Street,55403,0,Parking,319000,319000,1989,827,19,20,42,43,912
City of Minneapolis,Police Precinct #3,Public,3000 Minnehaha Avenue,55406,0,Police Station,33761,0,2005,472,100,103,224,226,497
City of Minneapolis,Police Precinct 4,Public,1925 Plymouth Avenue North,55411,0,Police Station,25319,0,1988,349,106,112,223,227,462
City of Minneapolis,Public Service Center,Public,250 South 4th Street,55401,55,Office,93010,0,1957,1316,127,137,233,243,1457
City of Minneapolis,Riverfront (Guthrie) Ramp,Public,212 9th Avenue South,55403,0,Parking,250000,250000,2005,503,10,10,31,32,0
City of Minneapolis,Royalston Maintenance Facility,Public,661 5th Avenue North,55405,0,"Repair Services (Vehicle, Shoe, etc.)",71029,0,1998,509,86,97,130,142,857
City of Minneapolis,TAD 4 Ramp,Public,318 2nd Avenue North,55403,0,Parking,450000,450000,1993,1836,30,31,66,67,508
City of Minneapolis,TAD 5 Ramp,Public,516 2nd Avenue North,55403,0,Parking,618000,618000,1989,1576,18,19,41,42,434
City of Minneapolis,TAD 7 Ramp,Public,101 North 9th Street,55403,0,Parking,1650000,1650000,1991,2836,10,10,27,27,582
City of Minneapolis,Traffic Maintenance Facility (300 Border),Public,300 Border Avenue,55405,0,Other - Public Services,61416,0,1962,424,61,66,114,120,588
City of Minneapolis,Vineland (Walker) Ramp,Public,727 Vineland,55403,0,Parking,115000,115000,2004,488,27,28,67,68,4446
City of Minneapolis,Water Treatment and Distribution Campus,Public,4500 Marshall Street NE,55421,0,Drinking Water Treatment & Distribution,650000,0,1930,30269,313,327,740,750,0
Minneapolis Park and Recreation Board,Armatage Park [Mn012156],Public,2500 57th St W,55410,0,Fitness Center/Health Club/Gym,7097,0,1978,63,93,100,152,159,0
Minneapolis Park and Recreation Board,Audubon Park [Mn012157],Public,1320 29th Ave NE,55418,0,Other - Entertainment/Public Assembly,6177,0,1978,57,90,99,156,165,0
Minneapolis Park and Recreation Board,Bottineau Park [Mn012158],Public,2000 2nd St NE,55418,0,Fitness Center/Health Club/Gym,13760,0,2001,117,87,97,144,155,0
Minneapolis Park and Recreation Board,Brackett Park [Mn012159],Public,2728 39th Ave S,55406,0,Other - Entertainment/Public Assembly,5314,0,1999,37,50,53,111,116,0
Minneapolis Park and Recreation Board,Bryant Square Park [Mn012160],Public,3101 Bryant Ave S,55408,0,Other - Entertainment/Public Assembly,6300,0,1970,53,65,68,137,141,0
Minneapolis Park and Recreation Board,Corcoran Park [Mn012161],Public,3332 20th Ave S,55407,0,Other - Entertainment/Public Assembly,5855,0,1977,64,109,118,186,196,0
Minneapolis Park and Recreation Board,Creekview Park [Mn012162],Public,5001 Irving Ave N,55430,0,Other - Entertainment/Public Assembly,6068,0,1976,42,70,77,117,126,0
Minneapolis Park and Recreation Board,East Phillips Park [Mn012163],Public,2307 17th Ave S,55404,0,Other - Entertainment/Public Assembly,14564,9000,2010,126,81,87,145,149,0
