X,Y,ObjectID,Date,Sample_ID,Parameter,Results,Units,CAS,HRV,Units1,HRV_Types,Name,Description,Address,City_1,State,Zip
-93.247439313001436,44.950169704177469,3001,May14,2092May14,n-Hexane,1.4,ug/m3,110-54-3,2000,ug/m3,HRV,,Volunteer,2850 Cedar Ave S,Minneapolis,MN,55407
-93.247439313001436,44.950169704177469,3002,May14,2092May14,Toluene,3,ug/m3,108-88-3,400,ug/m3,HRV,,Volunteer,2850 Cedar Ave S,Minneapolis,MN,55407
-93.247439313001436,44.950169704177469,3003,May14,2092May14,Trichlorofluoromethane,1.6,ug/m3,75-69-4,5600000,ug/m3,REL,,Volunteer,2850 Cedar Ave S,Minneapolis,MN,55407
-93.247439313001436,44.950169704177469,3004,May14,2092May14,Vinyl acetate,4.1,ug/m3,108-05-4,200,ug/m3,HRV,,Volunteer,2850 Cedar Ave S,Minneapolis,MN,55407
-93.265515158351249,44.982638701286824,3005,May14,2093May14,2-Butanone (MEK),1.6,ug/m3,78-93-3,10000,ug/m3,HRV,,Volunteer,111 Marquette Ave,Minneapolis,MN,55401
-93.265515158351249,44.982638701286824,3006,May14,2093May14,Acetone,8.1,ug/m3,67-64-1,590000,ug/m3,REL,,Volunteer,111 Marquette Ave,Minneapolis,MN,55401
-93.265515158351249,44.982638701286824,3007,May14,2093May14,Chloromethane,0.79,ug/m3,74-87-3,206544,ug/m3,PEL,,Volunteer,111 Marquette Ave,Minneapolis,MN,55401
-93.265515158351249,44.982638701286824,3008,May14,2093May14,Dichlorodifluoromethane,1.5,ug/m3,75-71-8,4950000,ug/m3,REL,,Volunteer,111 Marquette Ave,Minneapolis,MN,55401
-93.265515158351249,44.982638701286824,3009,May14,2093May14,Ethanol,11.4,ug/m3,64-17-5,1900000,ug/m3,REL,,Volunteer,111 Marquette Ave,Minneapolis,MN,55401
-93.265515158351249,44.982638701286824,3010,May14,2093May14,Methylene Chloride,1.1,ug/m3,75-09-2,20,ug/m3,HRV,,Volunteer,111 Marquette Ave,Minneapolis,MN,55401
-93.265515158351249,44.982638701286824,3011,May14,2093May14,Propylene,1.9,ug/m3,115-07-1,1050000,ug/m3,REL,,Volunteer,111 Marquette Ave,Minneapolis,MN,55401
-93.265515158351249,44.982638701286824,3012,May14,2093May14,Toluene,1.8,ug/m3,108-88-3,400,ug/m3,HRV,,Volunteer,111 Marquette Ave,Minneapolis,MN,55401
-93.265515158351249,44.982638701286824,3013,May14,2093May14,Trichlorofluoromethane,1.3,ug/m3,75-69-4,5600000,ug/m3,REL,,Volunteer,111 Marquette Ave,Minneapolis,MN,55401
-93.28500946239933,45.017259007849219,3014,May14,2103May14,2-Butanone (MEK),5.6,ug/m3,78-93-3,10000,ug/m3,HRV,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3015,May14,2103May14,2-Hexanone,1.3,ug/m3,591-78-6,4000,ug/m3,REL,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3016,May14,2103May14,Acetone,16.8,ug/m3,67-64-1,590000,ug/m3,REL,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3017,May14,2103May14,Dichlorodifluoromethane,3.7,ug/m3,75-71-8,4950000,ug/m3,REL,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3018,May14,2103May14,Ethanol,20.3,ug/m3,64-17-5,1900000,ug/m3,REL,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3019,May14,2103May14,m&p-Xylene,1.5,ug/m3,179601-23-1,350000,ug/m3,REL,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3020,May14,2103May14,Methylene Chloride,2.3,ug/m3,75-09-2,20,ug/m3,HRV,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3021,May14,2103May14,n-Heptane,2.5,ug/m3,142-82-5,350000,ug/m3,REL,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3022,May14,2103May14,n-Hexane,1,ug/m3,110-54-3,2000,ug/m3,HRV,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3023,May14,2103May14,Propylene,3.3,ug/m3,115-07-1,1050000,ug/m3,REL,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3024,May14,2103May14,Tetrachloroethene,1.2,ug/m3,127-18-4,2,ug/m3,RAA,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3025,May14,2103May14,Toluene,3.1,ug/m3,108-88-3,400,ug/m3,HRV,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.28500946239933,45.017259007849219,3026,May14,2103May14,Trichlorofluoromethane,2.5,ug/m3,75-69-4,5600000,ug/m3,REL,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,55412
-93.29070173421519,44.93741855279557,3027,May14,2140May14,2-Butanone (MEK),2.3,ug/m3,78-93-3,10000,ug/m3,HRV,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3028,May14,2140May14,2-Hexanone,0.81,ug/m3,591-78-6,4000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3029,May14,2140May14,2-Propanol,0.5,ug/m3,67-63-0,980000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3030,May14,2140May14,4-Methyl-2-pentanone (MIBK),0.73,ug/m3,108-10-1,205000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3031,May14,2140May14,Acetone,30.5,ug/m3,67-64-1,590000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3032,May14,2140May14,Benzene,1.2,ug/m3,71-43-2,1.3,ug/m3,HRV,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3033,May14,2140May14,Carbon tetrachloride,0.93,ug/m3,56-23-5,12600,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3034,May14,2140May14,Chloromethane,1.2,ug/m3,74-87-3,206544,ug/m3,PEL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3035,May14,2140May14,Dichlorodifluoromethane,4.4,ug/m3,75-71-8,4950000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3036,May14,2140May14,Ethanol,22.4,ug/m3,64-17-5,1900000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3037,May14,2140May14,Ethyl acetate,2.5,ug/m3,141-78-6,1400000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3038,May14,2140May14,m&p-Xylene,0.98,ug/m3,179601-23-1,350000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3039,May14,2140May14,n-Hexane,0.65,ug/m3,110-54-3,2000,ug/m3,HRV,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3040,May14,2140May14,Propylene,3.7,ug/m3,115-07-1,1050000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3041,May14,2140May14,Tetrahydrofuran,1.9,ug/m3,109-99-9,590000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
-93.29070173421519,44.93741855279557,3042,May14,2140May14,Trichlorofluoromethane,2,ug/m3,75-69-4,5600000,ug/m3,REL,GVP NE (near Our Kitchen),business,3607 Bryant Ave S,Minneapolis,MN,55409
