X,Y,F__OBJECTID,LATITUDE,LONGITUDE,APN,APN_text,Address,Property_Name,Year_Endin,ENERGY_STAR_score,Prop_Type,Postal_Code,Prop_Flr_Area,Year_Built,Total_GHG_,Site_Energ,Site_EUI,Weat_Norm_SiteEUI,Source_EUI,Source_Ene,Weat_Norm_Source_EUI,Organizati,water_gallons,ESScore_In
-93.29147057711404,44.925508897149591,1,44.92551,-93.29147,902824410204,902824410204,4237 COLFAX AVE S,Barton Elementary,2012-12-31T06:00:00.000Z,36,K-12 School,55409,80464,1925,739.91,6053194.8,75.2,82.1,146,11748475.3,153.2,Minneapolis Public Schools,768944,36
-93.296186732355679,45.012737704349696,2,45.01274,-93.29619,902924420043,902924420043,1315 LOWRY AVE N,North Regional Library,2012-12-31T06:00:00.000Z,0,Other,55411,38993,1971,316.91,2344227.1,60.1,63.8,126.8,4943054.1,128.1,Hennepin County,273020,0
-93.289278687820811,45.006780498002321,3,45.00678,-93.28928,902924440247,902924440247,807 27TH AVE N,Nellie Stone Johnson Elementary,2012-12-31T06:00:00.000Z,20,K-12 School,55411,123000,2001,1201.94,9409126.8,76.5,82.2,153.9,18932843.6,157.8,Minneapolis Public Schools,1905904,20
-93.298450486871658,45.010470482429611,4,45.01047,-93.29845,902924310203,902924310203,1501 30TH AVE N,Jordan Park,2012-12-31T06:00:00.000Z,1,K-12 School,55430,123293,1999,1970.46,14894023.1,120.8,118.6,250.2,30848277.7,242.9,Minneapolis Public Schools,742764,1
-93.255546948902108,44.933229784010962,5,44.93323,-93.25555,1102824120180,1102824120181,1315 38TH ST E,Bancroft Elementary,2012-12-31T06:00:00.000Z,6,K-12 School,55407,72176,1925,546,6013222.6,83.3,93.5,127.8,9223369.1,139.2,Minneapolis Public Schools,1448128,6
-93.251684193180395,45.009390821398576,6,45.00939,-93.25168,1102924440090,1102924440094,700 22ND AVE NE,Edison Senior High,2012-12-31T06:00:00.000Z,68,K-12 School,55418,257922,1925,1896.7,20001218.9,77.5,86.4,123,31722317.8,132.3,Minneapolis Public Schools,N/A,68
-93.301621539824595,45.046728916117956,7,45.04673,-93.30162,1111821140090,1111821140085,1607 51ST AVE N,Olson Middle School,2012-12-31T06:00:00.000Z,15,K-12 School,55430,117825,1962,1407.74,13487165.1,114.5,126.7,195.7,23058178.7,208.5,Minneapolis Public Schools,1394272,15
-93.255888308710084,44.977391865195344,8,44.97739,-93.25589,2302924430200,2302924430195,212 9TH AVE S,Riverfront (Guthrie) Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,2005,561.9,2580969.4,10.32,Not Available,Not Available,8104244,Not Available,City of Minneapolis,N/A,0
-93.27302816433108,44.97258126587036,9,44.97258,-93.27303,2702924130280,2702924130278,1030 2ND AVE S #RAMP,Hilton Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1992,680.3,3124830.2,Not Available,Not Available,Not Available,9811966.9,Not Available,City of Minneapolis,N/A,0
-93.275013441108982,44.974741954854849,10,44.97474,-93.27501,2702924120180,2702924120182,915 LASALLE AVE,10th and LaSalle Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,2001,140.9,1384822.7,3.85,Not Available,Not Available,1940048.3,Not Available,City of Minneapolis,N/A,0
